ID_MAGALU;KIT_EXTRA;STATUS
383754;true;NAO_ENCONTRADO
312029;true;NAO_ENCONTRADO
355139;true;NAO_ENCONTRADO
319057;true;NAO_ENCONTRADO
355985;true;NAO_ENCONTRADO
334570;true;NAO_ENCONTRADO
301326;true;NAO_ENCONTRADO
352473;true;NAO_ENCONTRADO
363338;true;NAO_ENCONTRADO
335634;true;NAO_ENCONTRADO
333610;true;NAO_ENCONTRADO
266278;true;NAO_ENCONTRADO
264022;true;NAO_ENCONTRADO
303337;true;NAO_ENCONTRADO
339482;true;NAO_ENCONTRADO
367074;true;NAO_ENCONTRADO
248637;true;NAO_ENCONTRADO
250862;true;NAO_ENCONTRADO
357208;true;NAO_ENCONTRADO
374471;true;NAO_ENCONTRADO
292642;true;NAO_ENCONTRADO
268520;true;NAO_ENCONTRADO
345776;true;NAO_ENCONTRADO
346407;true;NAO_ENCONTRADO
263082;true;NAO_ENCONTRADO
362633;true;NAO_ENCONTRADO
371982;true;NAO_ENCONTRADO
287806;true;NAO_ENCONTRADO
268508;true;NAO_ENCONTRADO
117118;true;NAO_ENCONTRADO
225349;true;NAO_ENCONTRADO
321899;true;NAO_ENCONTRADO
231698;true;NAO_ENCONTRADO
287691;true;NAO_ENCONTRADO
255915;true;NAO_ENCONTRADO
383485;true;NAO_ENCONTRADO
366111;true;NAO_ENCONTRADO
204407;true;NAO_ENCONTRADO
261033;true;NAO_ENCONTRADO
340282;true;NAO_ENCONTRADO
214830;true;NAO_ENCONTRADO
349887;true;NAO_ENCONTRADO
247296;true;NAO_ENCONTRADO
320817;true;NAO_ENCONTRADO
361663;true;NAO_ENCONTRADO
194499;true;NAO_ENCONTRADO
340860;true;NAO_ENCONTRADO
292190;true;NAO_ENCONTRADO
284848;true;NAO_ENCONTRADO
257609;true;NAO_ENCONTRADO
352396;true;NAO_ENCONTRADO
255229;true;NAO_ENCONTRADO
216882;true;NAO_ENCONTRADO
278826;true;NAO_ENCONTRADO
304888;true;NAO_ENCONTRADO
351783;true;NAO_ENCONTRADO
237940;true;NAO_ENCONTRADO
239669;true;NAO_ENCONTRADO
320591;true;NAO_ENCONTRADO
310052;true;NAO_ENCONTRADO
353145;true;NAO_ENCONTRADO
237246;true;NAO_ENCONTRADO
260283;true;NAO_ENCONTRADO
374371;true;NAO_ENCONTRADO
252135;true;NAO_ENCONTRADO
351148;true;NAO_ENCONTRADO
343030;true;NAO_ENCONTRADO
333046;true;NAO_ENCONTRADO
256288;true;NAO_ENCONTRADO
263903;true;NAO_ENCONTRADO
207363;true;NAO_ENCONTRADO
245399;true;NAO_ENCONTRADO
205841;true;NAO_ENCONTRADO
207159;true;NAO_ENCONTRADO
321003;true;NAO_ENCONTRADO
337356;true;NAO_ENCONTRADO
359153;true;NAO_ENCONTRADO
310834;true;NAO_ENCONTRADO
